HTS_CODE,HTS_DESCRIPTION,CHAPTER,SECTION,DUTY_RATE,ADD_RATE,CVD_RATE,EFFECTIVE_DATE,EXPIRATION_DATE
7318140000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,0.0,150.0,0.0,2019-12-17,2030-12-31
8536411000,"Electrical apparatus for switching, protecting circuits, 1000",85,XVI,0.0,0.0,0.0,2019-12-25,2030-12-31
8503009500,"Parts suitable for use with electric motors and generators, 9500",85,XVI,6.0,0.0,0.0,2019-05-01,2030-12-31
8481802500,"Taps, cocks, valves for pipes, boiler shells, tanks, vats, 2500",84,XVI,10.0,200.0,0.0,2019-09-17,2030-12-31
8413301000,"Pumps for liquids; liquid elevators, 1000",84,XVI,6.0,0.0,0.0,2019-04-07,2030-12-31
8507201000,"Electric accumulators including separators, 1000",85,XVI,15.0,0.0,0.0,2019-03-24,2030-12-31
8408201000,"Compression-ignition internal combustion piston engines (diesel or semi-diesel), 1000",84,XVI,0.0,0.0,0.0,2019-05-21,2030-12-31
8708999500,"Parts and accessories of motor vehicles, 9500",87,XVII,0.0,0.0,0.0,2019-04-10,2030-12-31
8708999100,"Parts and accessories of motor vehicles, 9100",87,XVII,10.0,0.0,0.0,2019-11-05,2030-12-31
8536501000,"Electrical apparatus for switching, protecting circuits, 1000",85,XVI,3.5,0.0,0.0,2019-12-05,2030-12-31
8414301000,"Air or vacuum pumps, air or gas compressors, fans, blowers, 1000",84,XVI,10.0,0.0,0.0,2019-01-31,2030-12-31
8409991000,"Parts suitable for use with spark-ignition or compression-ignition engines, 1000",84,XVI,10.0,0.0,0.0,2019-01-25,2030-12-31
8409991000,"Parts suitable for use with spark-ignition or compression-ignition engines, 1000",84,XVI,5.0,0.0,0.0,2019-04-09,2030-12-31
8409999100,"Parts suitable for use with spark-ignition or compression-ignition engines, 9100",84,XVI,2.5,0.0,0.0,2019-08-16,2030-12-31
8413601000,"Pumps for liquids; liquid elevators, 1000",84,XVI,0.0,0.0,0.0,2019-10-17,2030-12-31
8481401000,"Taps, cocks, valves for pipes, boiler shells, tanks, vats, 1000",84,XVI,25.0,100.0,100.0,2019-12-07,2030-12-31
8409991000,"Parts suitable for use with spark-ignition or compression-ignition engines, 1000",84,XVI,5.0,300.0,0.0,2019-10-15,2030-12-31
8408101000,"Compression-ignition internal combustion piston engines (diesel or semi-diesel), 1000",84,XVI,0.0,0.0,0.0,2019-11-20,2030-12-31
8409914000,"Parts suitable for use with spark-ignition or compression-ignition engines, 4000",84,XVI,12.5,0.0,0.0,2019-11-21,2030-12-31
7318210000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,2.5,50.0,100.0,2019-12-07,2030-12-31
8708999800,"Parts and accessories of motor vehicles, 9800",87,XVII,5.0,0.0,0.0,2019-05-24,2030-12-31
7318220000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,5.0,50.0,50.0,2019-01-13,2030-12-31
8408102000,"Compression-ignition internal combustion piston engines (diesel or semi-diesel), 2000",84,XVI,2.5,200.0,0.0,2019-03-12,2030-12-31
7318160000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,2.5,0.0,0.0,2019-12-11,2030-12-31
7318290000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,2.5,100.0,0.0,2019-01-12,2030-12-31
8412215000,"Engines and motors, other (hydraulic, pneumatic), 5000",84,XVI,2.5,0.0,75.0,2019-01-10,2030-12-31
8708921000,"Parts and accessories of motor vehicles, 1000",87,XVII,7.5,0.0,0.0,2019-10-06,2030-12-31
8544609000,"Insulated wire, cable; optical fiber cables, 9000",85,XVI,3.5,0.0,0.0,2019-07-01,2030-12-31
8503001000,"Parts suitable for use with electric motors and generators, 1000",85,XVI,10.0,250.0,0.0,2019-05-07,2030-12-31
8708101000,"Parts and accessories of motor vehicles, 1000",87,XVII,10.0,0.0,0.0,2019-05-01,2030-12-31
8413301000,"Pumps for liquids; liquid elevators, 1000",84,XVI,0.0,0.0,0.0,2019-02-27,2030-12-31
8481201000,"Taps, cocks, valves for pipes, boiler shells, tanks, vats, 1000",84,XVI,2.5,0.0,10.0,2019-07-23,2030-12-31
8414599500,"Air or vacuum pumps, air or gas compressors, fans, blowers, 9500",84,XVI,0.0,0.0,50.0,2019-10-27,2030-12-31
8501101000,"Electric motors and generators, 1000",85,XVI,7.5,0.0,100.0,2019-07-24,2030-12-31
7326200000,"Other articles of iron or steel, 0000",73,XV,3.5,0.0,0.0,2019-04-15,2030-12-31
8503009500,"Parts suitable for use with electric motors and generators, 9500",85,XVI,7.5,0.0,0.0,2019-01-26,2030-12-31
8504211000,"Electrical transformers, static converters, inductors, 1000",85,XVI,15.0,0.0,0.0,2019-03-09,2030-12-31
8413302000,"Pumps for liquids; liquid elevators, 2000",84,XVI,3.5,0.0,150.0,2019-11-15,2030-12-31
7318290000,"Screws, bolts, nuts, coach screws, similar articles of iron or steel, 0000",73,XV,5.0,0.0,0.0,2019-10-31,2030-12-31
8708301000,"Parts and accessories of motor vehicles, 1000",87,XVII,15.0,0.0,0.0,2019-09-02,2030-12-31
